created_user_id,action,desc,created,data_date_key,session_id,new_value,old_value,pkg_order,duration,result_status,shop_id,shop_code,package_status_id,shop_order,shop_name,shop_status_name,shop_type_name,shop__created,shop__seniority,shop__categories,address__ward_name,address__district_name,address__province_name
800822,changePackageStatus,,2025-06-09 21:43:28,20250609,20250609,12,2,1661617863,4110,SUCCESS,38da8f9d-1656-417b-b62d-62258d128bdc,S22592845,4,22592845,TK_Store to Store_TGDD/ĐMX/TOPZONE,Đang làm việc,Top Brand,2024-05-07 10:45:09,13,,Phường Tân Phú,Quận 9,TP Hồ Chí Minh
800822,PickupBill,Hóa đơn nhập hàng vào kho <b>BLH2148846490.T599246.090625</b>,2025-06-10 00:11:46,20250609,20250609,,,1661617863,0,FAIL,38da8f9d-1656-417b-b62d-62258d128bdc,S22592845,4,22592845,TK_Store to Store_TGDD/ĐMX/TOPZONE,Đang làm việc,Top Brand,2024-05-07 10:45:09,13,,Phường Tân Phú,Quận 9,TP Hồ Chí Minh
800822,PickupCrossProvinceBill,Hoá đơn nhập hàng chuyển tỉnh <b>BNHCT2148846493.T599246.090625</b>,2025-06-10 00:11:46,20250609,20250609,,,1661617863,0,FAIL,38da8f9d-1656-417b-b62d-62258d128bdc,S22592845,4,22592845,TK_Store to Store_TGDD/ĐMX/TOPZONE,Đang làm việc,Top Brand,2024-05-07 10:45:09,13,,Phường Tân Phú,Quận 9,TP Hồ Chí Minh
800822,confirmTmpPickedPackageStatus,từ <b>Đã điều phối lấy hàng/Đang lấy hàng</b> sang <b>Đã lấy hàng/Đã nhập kho</b>,2025-06-10 00:11:46,20250609,20250609,3,12,1661617863,0,SUCCESS,38da8f9d-1656-417b-b62d-62258d128bdc,S22592845,4,22592845,TK_Store to Store_TGDD/ĐMX/TOPZONE,Đang làm việc,Top Brand,2024-05-07 10:45:09,13,,Phường Tân Phú,Quận 9,TP Hồ Chí Minh
800822,updatePickedByCod,Cập nhật đã lấy hàng bởi COD,2025-06-10 00:11:46,20250609,20250609,1,,1661617863,35429,SUCCESS,38da8f9d-1656-417b-b62d-62258d128bdc,S22592845,4,22592845,TK_Store to Store_TGDD/ĐMX/TOPZONE,Đang làm việc,Top Brand,2024-05-07 10:45:09,13,,Phường Tân Phú,Quận 9,TP Hồ Chí Minh
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-11 15:27:31,20250611,20250611,,,1403879459,495,FAIL,5e840276-e28c-404d-a409-43a00a6e4c25,S11938802,6,11938802,Xưởng Đồ Bà Nội Trợ,Đang làm việc,Pro (B2C),2020-04-01 09:54:46,63,[],,,TP Hồ Chí Minh
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-11 15:27:31,20250611,20250611,,,1324515567,468,FAIL,e0020a70-d4ba-4f0f-a66d-d2b233a934b1,S22922791,5,22922791,Út ít shop,Đang làm việc,Pro (B2C),2025-05-13 13:54:28,1,,Xã La Phù,Hoài Đức,Hà Nội
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vanhtp - Hà Thị Phong Vân - 0976285038 (Do ĐH được cập nhật ca hẹn giao mới vào ca 1 ngày 2025-06-11).,2025-06-11 15:28:21,20250611,20250611,,,1257615766,583,FAIL,677cfac7-c798-4fc3-bd18-4c9f0a6e4c39,S22823777,5,22823777,BST1,Đang làm việc,Pro (B2C),2025-01-07 16:58:31,5,,Phường Vạn Phúc,Quận Hà Đông,Hà Nội
800822,updateDeliverWorkshiftByCod,Thay đổi ca hẹn giao từ sáng ngày 11-06-2025 sang sáng ngày 12-06-2025 - Tất cả khung giờ,2025-06-11 15:28:52,20250611,20250611,1,1,1854973002,83542,SUCCESS,0b6058ee-26d4-41bd-b31a-83296a81b9ab,S22138848,4,22138848,MYPHAM-HIENLE,Đang làm việc,Pro (B2C),2023-04-23 10:55:44,26,"[""medicines"",""cosmetics""]",Xã Phú Xuân,Huyện Nhà Bè,TP Hồ Chí Minh
800822,changePackageStatus,,2025-06-11 18:40:30,20250611,20250611,12,2,1004278133,138,SUCCESS,64fbf3bf-aec4-4e28-ad8a-46610a6e4cd4,S22319016,7,22319016,SX My Pham,Đang làm việc,Pro (B2C),2023-09-09 11:25:35,21,,Xã Kim Chung,Hoài Đức,Hà Nội
800822,changeCodForPackagesInCart,Cập nhật giỏ lấy hàng cho COD T387187 - Hà Thị Phong Vân,2025-06-11 18:40:36,20250611,20250611,5ee8d67a-9464-484a-bd1b-49e10a0a3422,62ecc9ee-7a18-4f56-908f-49010a6e4d75,1119289821,132,SUCCESS,64fbf3bf-aec4-4e28-ad8a-46610a6e4cd4,S22319016,7,22319016,SX My Pham,Đang làm việc,Pro (B2C),2023-09-09 11:25:35,21,,Xã Kim Chung,Hoài Đức,Hà Nội
800822,changePackageStatus,,2025-06-11 18:40:36,20250611,20250611,12,2,1543232375,0,SUCCESS,64fbf3bf-aec4-4e28-ad8a-46610a6e4cd4,S22319016,7,22319016,SX My Pham,Đang làm việc,Pro (B2C),2023-09-09 11:25:35,21,,Xã Kim Chung,Hoài Đức,Hà Nội
800822,changePackageStatus,,2025-06-11 18:40:36,20250611,20250611,12,2,1119289821,0,SUCCESS,64fbf3bf-aec4-4e28-ad8a-46610a6e4cd4,S22319016,7,22319016,SX My Pham,Đang làm việc,Pro (B2C),2023-09-09 11:25:35,21,,Xã Kim Chung,Hoài Đức,Hà Nội
800822,changeCodForPackagesInCart,Cập nhật giỏ lấy hàng cho COD T387187 - Hà Thị Phong Vân,2025-06-11 18:40:36,20250611,20250611,5ee8d67a-9464-484a-bd1b-49e10a0a3422,62ecc9ee-7a18-4f56-908f-49010a6e4d75,1543232375,132,SUCCESS,64fbf3bf-aec4-4e28-ad8a-46610a6e4cd4,S22319016,7,22319016,SX My Pham,Đang làm việc,Pro (B2C),2023-09-09 11:25:35,21,,Xã Kim Chung,Hoài Đức,Hà Nội
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vanhtp - Hà Thị Phong Vân - 0976285038,2025-06-12 15:36:21,20250612,20250612,,,1216520029,43,FAIL,c1999fd4-d9ce-4e34-96e8-d968639b16cc,S22842110,4,22842110,Gia Dụng Thông Minh,Đang làm việc,Pro (B2C),2025-02-03 09:25:16,4,,Xã Hồng Việt,Huyện Đông Hưng,Thái Bình
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vanhtp - Hà Thị Phong Vân - 0976285038,2025-06-12 15:36:21,20250612,20250612,,,1011339934,56,FAIL,591833f6-1441-4c3e-87e2-10a02f47067c,S22925790,4,22925790,Bảo Tín,Đang làm việc,Pro (B2C),2025-05-17 15:33:52,1,,Phường An Biên,Quận Lê Chân,Hải Phòng
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-12 15:36:34,20250612,20250612,,,1444785948,663,FAIL,5c9b84c5-b200-4448-83a6-42b80a0a0210,S4727496,4,4727496,iGHTK,Đang làm việc,Standard (C2C),2019-03-27 21:12:21,76,"[""fashion"",""stationery"",""family""]",,,Hà Nội
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-12 15:36:34,20250612,20250612,,,1888509495,595,FAIL,5b4e97c7-8258-43d7-9209-34c20a0a020b,S1220872,4,1220872,Thảo Nguyễn NT ll,Đang làm việc,Pro (B2C),2018-07-18 08:28:39,84,"[""fashion_new""]",,,Gia Lai
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-12 15:44:00,20250612,20250612,,,1707250828,85,FAIL,5cb8368d-a7fc-4243-b736-46d30a0a0213,S5091736,4,5091736,Thuý Giày,Đang làm việc,Pro (B2C),2019-04-18 15:34:21,75,"[""fashion_new""]",Phường Hàng Bột,Quận Đống Đa,Hà Nội
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-12 15:44:00,20250612,20250612,,,1752441769,57,FAIL,42b15578-65d3-4a7b-a448-c77c234e1513,S22937962,4,22937962,Mỹ Phẩm Lê Vân Anh,Đang làm việc,Standard (C2C),2025-06-03 15:17:01,0,,Phường Cống Vị,Quận Ba Đình,Hà Nội
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714,2025-06-12 15:44:00,20250612,20250612,,,1521092571,103,FAIL,5b4e97c7-8258-43d7-9209-34c20a0a020b,S1220872,4,1220872,Thảo Nguyễn NT ll,Đang làm việc,Pro (B2C),2018-07-18 08:28:39,84,"[""fashion_new""]",,,Gia Lai
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vanhtp - Hà Thị Phong Vân - 0976285038 (Do COD được cấu hình chốt ca một lần).,2025-06-12 15:47:02,20250612,20250612,,,4010470399,368,FAIL,67a58ef5-8954-48e1-b303-46650a6e4e65,S22845716,4,22845716,BOXME VIỆT NAM - HÀNG NHẸ,Đang làm việc,Top Brand,2025-02-07 11:41:25,4,,Phường Minh Khai,Quận Hai Bà Trưng,Hà Nội
800822,distributorCfmDeliver,Xác nhận giao hàng cho COD: vudt51 - DƯƠNG TUẤN VŨ - 0374718714 (Do ĐH được cập nhật ca hẹn giao mới vào ca 1 ngày 2025-06-12).,2025-06-12 15:48:46,20250612,20250612,,,1940931593,14,FAIL,32ef18d5-388c-40d7-b6bb-5f7ba12c2c6e,S22687736,4,22687736,Mỹ Phẩm Lê Vân Anh,Đang làm việc,Pro (B2C),2024-08-14 09:05:24,10,"[""cosmetics""]",Phường Ngọc Khánh,Quận Ba Đình,Hà Nội
800823,changePackageStatus,,2025-06-10 15:37:52,20250610,20250610,12,2,1927610199,11257,SUCCESS,624d1e0e-3388-4a29-9c8a-44d10a6e4d59,S21331535,4,21331535,Shop mỹ phẩm Mai phạm,Đang làm việc,Standard (C2C),2022-04-06 11:58:54,39,"[""fashion_new"",""houseware"",""cosmetics""]",Xã Ba Vinh,Huyện Ba Tơ,Quảng Ngãi
800823,changePackageStatus,,2025-06-10 15:37:52,20250610,20250610,12,2,1326561118,0,SUCCESS,60756ff3-857c-4dcf-a38c-4def0a784c68,S19143176,12,19143176,Thuận Ngô,Đang làm việc,Standard (C2C),2021-04-13 17:18:27,51,[],Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội
800823,changeCodForPackagesInCart,Cập nhật giỏ lấy hàng cho COD T611031 - NGUYỄN TẤN ĐẠI,2025-06-10 15:37:52,20250610,20250610,6337dc98-9064-432d-a6b5-47b60a6e4d74,,1927610199,0,SUCCESS,624d1e0e-3388-4a29-9c8a-44d10a6e4d59,S21331535,4,21331535,Shop mỹ phẩm Mai phạm,Đang làm việc,Standard (C2C),2022-04-06 11:58:54,39,"[""fashion_new"",""houseware"",""cosmetics""]",Xã Ba Vinh,Huyện Ba Tơ,Quảng Ngãi
